ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
Recommended approval to the Council with staff conditions and the following additional con,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-06-13,2023-06-13,2023,Accepted,47,3,Unknown,Recommended approval to the Council with staff conditions and the following additional con,"Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the...","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection",,,,See minutes,,,,"Coconut Road, Estero, FL","Coconut Road, Estero, FL",26.3980991,-81.8099138,0.7,null,20230613 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20230613%20PZDB%20Minutes.pdf,AgendaItemLocation
"Approved the application with staff conditions, a minor amendment for the height of lighti",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-08-22,2023-08-22,2023,Accepted,57,3,Vote,"Approved the application with staff conditions, a minor amendment for the height of lighti","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff",,,See minutes,,,,"Corkscrew Road, Estero, FL","Corkscrew Road, Estero, FL",26.4363,-81.7701,0.9,null,20230822 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20230822%20PZDB%20Minutes.pdf,AgendaItemLocation
Selection of Vice-Chairman,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-10-29,2024-10-29,2024,Accepted,89,1,Consent Agenda,Selection of Vice-Chairman,"Selection of Vice-Chairman. Action: Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store","Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store","Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store","Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store",,,Detected,,,5,"Corkscrew Road, Estero, FL","Corkscrew Road, Estero, FL",26.4363,-81.7701,0.9,null,20241029 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20241029%20PZDB%20Minutes.pdf,AgendaItemLocation
"Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Pl...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-04-11,2023-04-11,2023,Accepted,39,1,Vote,"Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Pl...","Downtown Estero Infrastructure- Development Order (DOS2022- E006) (District 2) Located on the east side of US 41, north of Broadway and east of the Broadway Shoppes. - Applicant seeks to construct the backbone infrastructure for a 34-acre Mixed Planned De. Action: Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend",Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,Approved the Infrastructure Development Order (DOS2022-E006) to include a requirement of a fence as part of their buffer adjacent to Cypress Bend,,,See minutes,,DOS2022-E006,2,"Cypress Bend, Estero, FL","Cypress Bend, Estero, FL",26.4469,-81.8116,0.9,null,20230411 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20230411%20PZDB%20Minutes.pdf,AgendaItemLocation
"Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-09-13,2022-09-13,2022,Accepted,18,1,Unknown,"Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial...","Public Information Meeting was held September 28, 2021, and a Workshop was held April 12, 2022. Planning Zoning and Design Board will make a recommendation to Council. Chairman Wood provided information regarding Board business and quasi-judicial hearings. Action: Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book","Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book","Recommended to the Council to approve of the zoning amendment for Genova with additional language to condition 4, which is the pattern book",,,,See minutes,,,,"Genova, Estero, FL","Genova, Estero, FL",26.43765,-81.804994,0.83,null,20220913 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20220913%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-10-14,2025-10-14,2025,Pending,121,1,Public Comment,"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...","Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Dev. Action: No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Sta...","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley",,,,,,,6,"Shadow Wood, Estero, FL","Shadow Wood, Estero, FL",26.4099337,-81.7949565,0.7,null,20251014 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20251014%20PZDB%20Minutes.pdf,AgendaItemLocation
Selection of Vice-Chairman,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-10-29,2024-10-29,2024,Accepted,89,1,Consent Agenda,Selection of Vice-Chairman,"Selection of Vice-Chairman. Action: Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store","Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store","Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store","Appointed Michael Sheeley as Vice Chairman. A motion to approve the consent agenda was made and duly passed. 6. PUBLIC INFORMATION (a) Aldi - Development Order (Pending Submittal) (District 5) Located east of Stoneybrook Golf Drive and south of Corkscrew Road. Applicant proposes to develop a ± 22,000 square foot grocery store",,,Detected,,,5,"Stoneybrook, Estero, FL","Stoneybrook, Estero, FL",26.4298062,-81.7679548,0.7,null,20241029 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20241029%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-10-14,2025-10-14,2025,Pending,121,1,Public Comment,"Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Commu...","Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Dev. Action: No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Sta...","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley","No formal action recorded. Coconut Point Developers LLC - Developer Paint Project (District 6) (Planned Development Amendment - Pending) 23106 Fashion Drive, Coconut Point Mall is located east of US 41 and north of Coconut Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Land Use Attorney Presentation/Information by Scott Richardson, Simon Kristin Mulkey, Bartlett, Hartley & Mulkey Architects Tracy Boland, Simon Public Comment eComments Julie Melchiore, Cascades Cindy Gleysteen, Shadow Wood In Person Kathy Sevcheck, Rapallo Rupert Foreman, Coconut Point Board Questions or Comments Board Members Jeannin, Jones, Wallace, Tatooles, Williams, Paivandy, and Vice Chairman Sheeley",,,,,,,6,"US 41, Estero, FL","US 41, Estero, FL",26.4400826,-81.8108702,0.7,null,20251014 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20251014%20PZDB%20Minutes.pdf,AgendaItemLocation
"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-04-09,2024-04-09,2024,Accepted,72,1,Ordinance,"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health...","Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,. Action: No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot additio...","No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center, with parking improvements. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - April 9, 2024 Page 2 of 9 Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Joshua J. Jennings P.E, Weiler Engineering Corporation James J. H","No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center, with parking improvements. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - April 9, 2024 Page 2 of 9 Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Joshua J. Jennings P.E, Weiler Engineering Corporation James J. H",,,,,June 8,DOS2023-E011,3,"US 41, Estero, FL","US 41, Estero, FL",26.4400826,-81.8108702,0.7,null,20240409 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20240409%20PZDB%20Minutes.pdf,AgendaItemLocation
Recommended approval to the Council with staff conditions and the following additional con,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-06-13,2023-06-13,2023,Accepted,47,3,Unknown,Recommended approval to the Council with staff conditions and the following additional con,"Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the...","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection","Recommended approval to the Council with staff conditions and the following additional conditions: the hard scaping and lighting will be consistent throughout the community and will be defined at the time of the first Development Order, no 24-hour medical facilities use. The Village Council would recommend a minimum percentage of use during operating hours for the civic structure to be qualified as a civic structure, perimeter buffers along U.S. 41 and adjacent to the pond at the time of the first Development Order, shielding the fence in the buffer from the adjacent community, architecture review in more details at the time of Development Order, foundation plantings for the residential structures must exceed the minimum 10%, and the intersection of Coconut Road and Walden will be analyzed and the recommendation will be whatever the infrastructure that provides the highest and best capacity use for that intersection",,,,See minutes,,,,"US 41, Estero, FL","US 41, Estero, FL",26.4400826,-81.8108702,0.7,null,20230613 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20230613%20PZDB%20Minutes.pdf,AgendaItemLocation
Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-11-08,2022-11-08,2022,Accepted,32,5,Vote,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,"Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,00...","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant","Approved to continue the meeting until 9:15 pm. 7. WORKSHOP (1) Culver's Coconut Point Development Order (District 6) 8400 Murano Del Lago Dr, east of US 41 and south of Pelican Colony Blvd. Applicant is proposing to construct a4,000± s.f. Culver's Fast-Food Restaurant",,,Detected,,,7,"US 41, Estero, FL","US 41, Estero, FL",26.4400826,-81.8108702,0.7,null,20221108 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20221108%20PZDB%20Minutes.pdf,AgendaItemLocation
"Walmart Expansion (DOS2023-E008) (District 2) 19975 S. Tamiami Trail, located at the corner of US 41 and Estero Parkway. The original Development Order was approved in 2012, DOS2012-00045. Seeking to add a3,567 square foot addition to the north si...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-02-11,2025-02-11,2025,Pending,103,2,Vote,"Walmart Expansion (DOS2023-E008) (District 2) 19975 S. Tamiami Trail, located at the corner of US 41 and Estero Parkway. The original Development Order was approved in 2012, DOS2012-00045. Seeking to add a3,567 square foot addition to the north si...","Walmart Expansion (DOS2023-E008) (District 2) 19975 S. Tamiami Trail, located at the corner of US 41 and Estero Parkway. The original Development Order was approved in 2012, DOS2012-00045. Seeking to add a3,567 square foot addition to the north side of th. Action: Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41",Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,,,See minutes,,DOS2023-E008,2,"US 41, Estero, FL","US 41, Estero, FL",26.4400826,-81.8108702,0.7,null,20250211 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/20250211%20PZDB%20Minutes.pdf,AgendaItemLocation
